Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Promise_ckjm18,WMC,RFC,LOC
Run_2,Promise_ckjm18,NOC,LOC,NPM
Run_3,Promise_ckjm18,WMC,RFC,LOC
Run_4,Promise_ckjm18,CBO,LOC,NPM
Run_5,Promise_ckjm18,LCOM5,NOC,NPM
Run_6,Promise_ckjm18,WMC,LOC,NPM
Run_7,Promise_ckjm18,CC,LOC,NPM
Run_8,Promise_ckjm18,LCOM5,LOC,NPM
Run_9,Promise_ckjm18,LCOM5,WMC,CBO
Run_10,Promise_ckjm18,CC,LCOM5,CBO
Run_11,Promise_ckjm18,WMC,LOC,NPM
Run_12,Promise_ckjm18,LCOM5,LOC,NPM
Run_13,Promise_ckjm18,LCOM5,LOC,NPM
Run_14,Promise_ckjm18,WMC,LOC,NPM
Run_15,Promise_ckjm18,WMC,CBO,NOC
Run_16,Promise_ckjm18,CC,LCOM5,CBO
Run_17,Promise_ckjm18,WMC,CBO,LOC
Run_18,Promise_ckjm18,LCOM5,NOC,LOC
Run_19,Promise_ckjm18,RFC,LOC,NPM
Run_20,Promise_ckjm18,NOC,LOC,NPM
Run_21,Promise_ckjm18,LCOM5,DIT,LOC
Run_22,Promise_ckjm18,RFC,LOC,NPM
Run_23,Promise_ckjm18,WMC,CBO,LOC
Run_24,Promise_ckjm18,WMC,CBO,LOC
Run_25,Promise_ckjm18,CC,LCOM5,LOC
Run_26,Promise_ckjm18,WMC,LOC,NPM
Run_27,Promise_ckjm18,RFC,LOC,NPM
Run_28,Promise_ckjm18,LCOM5,CBO,LOC
Run_29,Promise_ckjm18,RFC,LOC,NPM
Run_30,Promise_ckjm18,WMC,LOC,NPM
