Project,Chi2,MutualInfo,ReliefF,Lasso
BugPrediction_Eclipse,1.0,0.677,1.0,1.0
BugPrediction_Equinox,1.0,0.6966,0.5391,0.6345
BugPrediction_lucene,1.0,0.5529,0.7425,0.6471
BugPrediction_Mylyn,1.0,0.7529,0.8517,0.8287
BugPrediction_PDE,1.0,0.3851,0.8494,0.8563
Github_Android,0.6839,0.3425,0.5575,0.9356
Github_antlr4,1.0,0.4644,0.8184,0.7115
Github_BroadleafCommerce,1.0,0.9667,1.0,0.9356
Github_ceylon,1.0,0.6414,0.5943,0.7057
Github_Elasticsearch,1.0,0.8747,0.8149,1.0
Github_hazelcast,1.0,0.5885,0.8517,1.0
Github_JUnit,1.0,0.6195,0.669,0.877
Github_mapdb,1.0,0.4586,0.5011,0.7069
Github_mcMMO,1.0,0.5897,0.7287,0.6954
Github_mct17,1.0,0.3517,0.6149,0.7494
Github_Neo4j,1.0,0.2874,0.6632,0.8287
Github_Netty,1.0,0.5368,1.0,0.7276
Github_orientdb,1.0,0.4069,0.9356,0.9356
Github_oryx,0.9667,0.331,0.8287,0.7069
Github_titan,0.9345,0.4138,0.9356,0.9069
Promise_ant14,1.0,1.0,0.5437,1.0
Promise_camel16,0.7977,0.3747,1.0,0.8563
Promise_ckjm18,0.9667,0.2172,0.6586,0.431
Promise_forrest08,0.9046,0.4161,0.5011,0.4195
Promise_ivy20,1.0,0.6782,0.7483,0.6954
Promise_jedit43,0.9667,0.3092,0.5345,1.0
Promise_log4j,0.8253,0.3713,0.7805,0.8149
Promise_lucene24,1.0,0.2425,0.6414,0.7828
Promise_pbeans2,1.0,0.1977,0.2828,0.4954
Promise_poi30,1.0,0.4552,0.7736,1.0
Promise_synapse12,1.0,0.5,0.7517,0.9023
Promise_velocity16,1.0,0.6897,0.8517,0.7874
Promise_xalan27,1.0,0.8437,0.7598,0.6402
Promise_xerces,0.746,0.6874,0.8805,0.9333
